Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc
405/647	13474.8	23485.6	13474.8	23485.6	2006.72729	5381.35693	209.05568	25.12434	1.11496	4624.38867	15125.28125	102	1	-1	-6	0	0	143.14409	28.17626	13474.8	23485.6	13474.8	23485.6
405/647	8477.3	24712.1	8477.3	24712.1	2818.28369	13387.66113	278.24042	4.23897	1.29450	4874.30029	19523.49219	102	1	-1	-4	0	0	356.11179	20.87690	8477.3	24712.1	8477.3	24712.1
405/647	9889.1	26948.8	9889.1	26948.8	4131.68359	28648.60547	266.50455	45.25620	1.08764	4787.94531	41773.73438	102	2	-1	-4	0	0	762.05291	12.71567	9889.1	26948.8	9889.1	26948.8
405/647	37271.9	27321.9	37271.9	27321.9	6832.04053	42046.43750	316.70114	-18.86324	1.11351	4852.08350	45734.91406	102	1	-1	5	0	0	1118.43524	9.37728	37271.9	27321.9	37271.9	27321.9
405/647	26888.4	28696.8	26888.4	28696.8	12444.08789	68151.02344	298.75479	-0.20532	1.07303	7333.98193	68249.45313	102	1	-1	5	0	0	1812.81722	6.51650	26888.4	28696.8	26888.4	28696.8
405/647	13012.4	34528.6	13012.4	34528.6	2996.55518	27234.67578	276.55460	30.71575	1.09717	4581.16846	36846.57813	102	2	-1	7	0	0	724.44238	13.99290	13012.4	34528.6	13012.4	34528.6
405/647	26444.6	39063.8	26444.6	39063.8	2480.44189	9690.80664	252.33395	-41.16755	1.10220	4550.42676	10540.32813	102	1	-1	-2	0	0	257.77546	22.85997	26444.6	39063.8	26444.6	39063.8
405/647	15586.6	39553.5	15586.6	39553.5	2367.72998	11381.25586	279.89117	25.38651	1.14984	4451.75293	14029.17969	102	1	-1	-4	0	0	302.74141	23.61419	15586.6	39553.5	15586.6	39553.5
405/647	6071.2	3177.0	6071.2	3177.0	5972.84961	53769.77344	302.03748	76.50757	1.06459	4673.98730	65600.63281	103	2	-1	-3	0	0	1430.27597	8.91215	6071.2	3177.0	6071.2	3177.0
405/647	5464.5	5772.8	5464.5	5772.8	7194.86328	38437.48828	295.07095	8.34663	1.23002	10013.17480	39961.62500	103	1	-1	5	0	0	1022.43719	11.90522	5464.5	5772.8	5464.5	5772.8
405/647	24940.4	7259.6	24940.4	7259.6	2629.28369	16841.42578	323.09552	-88.63229	1.08333	5094.79688	21447.07813	103	1	-1	-2	0	0	447.98193	22.67079	24940.4	7259.6	24940.4	7259.6
405/647	1600.0	9261.5	1600.0	9261.5	2323.24976	7401.71875	227.86549	19.87074	1.14958	4499.00391	11127.90625	103	1	-1	5	0	0	196.88572	24.22391	1600.0	9261.5	1600.0	9261.5
405/647	19428.8	9526.2	19428.8	9526.2	5769.53223	55494.67188	395.92743	1.53830	1.20637	5089.10205	51840.44531	103	1	-1	5	0	0	1476.15827	11.02458	19428.8	9526.2	19428.8	9526.2
405/647	19467.8	10172.6	19467.8	10172.6	2411.84058	13283.18555	299.59671	90.00000	1.28186	5395.84619	15748.84375	103	1	-1	10	0	0	353.33274	25.24157	19467.8	10172.6	19467.8	10172.6
405/647	21397.3	12404.6	21397.3	12404.6	29110.50000	172197.26563	310.49063	6.81990	1.01724	5940.27686	169778.07813	103	1	-1	-4	0	0	4580.44727	3.16492	21397.3	12404.6	21397.3	12404.6
405/647	30173.8	13669.4	30173.8	13669.4	2103.45874	7320.26074	238.15324	8.14772	1.15684	4482.12354	23577.91406	103	1	-1	-4	0	0	194.71894	26.52599	30173.8	13669.4	30173.8	13669.4
